dataset,model_type,size,seed,measure,threshold,objective,solution
GPQA_NOCHUNK,nemotron,large,40,cosine,p80,2,"[1, 257]"
IFEval_NOCHUNK,qwen8b,large,10,correlation,p10,1,[1]
Omni-MATH_NOCHUNK,nemotron,large,10,cosine,p10,1,[10]
IFEval_NOCHUNK,qwen8b,large,40,cosine,p10,1,[1]
Omni-MATH_NOCHUNK,nemotron,large,40,correlation,p10,1,[10]
Omni-MATH,bge,small,40,correlation,p10,1,[19]
Omni-MATH,e5,small,30,cosine,p90,3,"[137, 187, 904]"
Omni-MATH_CHUNKED,qwen4b,large,10,cosine,p95,7,"[24, 296, 648, 512, 811, 809, 276]"
MMLU-Pro,nemotron,large,40,correlation,p90,1,[739]
IFEval_NOCHUNK,qwen4b,large,20,euclidean,p20,1,[19]
GPQA_CHUNKED,nemotron,large,40,cosine,p10,1,[15]
MMLU-Pro,nemotron,large,50,euclidean,p20,1,[8]
GPQA,e5,small,30,correlation,p50,1,[429]
Omni-MATH,e5,small,10,cosine,p95,6,"[187, 551, 157, 904, 839, 657]"
IFEval,bge,small,30,cosine,p50,1,[359]
MMLU-Pro,e5,small,20,correlation,p90,3,"[5, 572, 765]"
Omni-MATH,e5,small,30,euclidean,p10,1,[10]
Omni-MATH_CHUNKED,nemotron,large,50,euclidean,p10,1,[19]
IFEval_NOCHUNK,qwen8b,large,50,cosine,p90,1,[185]
IFEval,bge,small,10,correlation,p50,1,[359]
Omni-MATH_CHUNKED,qwen8b,large,40,cosine,p20,1,[7]
MMLU-Pro,qwen4b,large,30,euclidean,p20,1,[13]
IFEval,bge,small,30,cosine,p20,1,[109]
Omni-MATH_CHUNKED,qwen4b,large,10,euclidean,p80,1,[149]
Omni-MATH_CHUNKED,qwen8b,large,10,cosine,p90,1,[281]
GPQA_NOCHUNK,nemotron,large,30,euclidean,p20,1,[1]
GPQA_CHUNKED,qwen8b,large,40,euclidean,p90,1,[201]
GPQA_CHUNKED,qwen4b,large,30,euclidean,p20,1,[45]
IFEval,gist,small,10,correlation,p50,2,"[121, 359]"
GPQA_NOCHUNK,qwen8b,large,20,correlation,p50,1,[27]
GPQA,e5,small,20,correlation,p20,1,[429]
GPQA_CHUNKED,qwen8b,large,40,correlation,p95,2,"[1, 343]"
GPQA_NOCHUNK,qwen8b,large,20,cosine,p80,1,[27]
MMLU-Pro,e5,small,50,cosine,p95,6,"[572, 830, 728, 0, 0, 0]"
GPQA_NOCHUNK,qwen8b,large,30,euclidean,p90,1,[201]
Omni-MATH_CHUNKED,qwen8b,large,10,correlation,p10,1,[7]
Omni-MATH,e5,small,30,correlation,p50,2,"[1, 657]"
Omni-MATH_CHUNKED,nemotron,large,30,cosine,p80,2,"[900, 854]"
GPQA,bge,small,10,cosine,p20,1,[214]
Omni-MATH_CHUNKED,qwen8b,large,40,euclidean,p90,1,[281]
Omni-MATH_NOCHUNK,nemotron,large,50,correlation,p80,1,[149]
GPQA_CHUNKED,qwen8b,large,40,cosine,p80,1,[27]
GPQA_NOCHUNK,qwen8b,large,10,cosine,p10,1,[27]
MMLU-Pro,bge,small,20,euclidean,p20,1,[696]
Omni-MATH_NOCHUNK,qwen4b,large,30,euclidean,p20,1,[7]
Omni-MATH_CHUNKED,qwen4b,large,30,euclidean,p20,1,[7]
GPQA,gist,small,20,euclidean,p80,4,"[9, 87, 282, 0]"
IFEval,e5,small,50,euclidean,p10,1,[37]
MMLU-Pro,bge,small,20,euclidean,p50,2,"[4, 902]"
Omni-MATH_CHUNKED,qwen4b,large,40,cosine,p95,7,"[24, 296, 648, 512, 811, 809, 276]"
Omni-MATH,gist,small,50,correlation,p90,9,"[11, 19, 541, 297, 583, 136, 553, 789, 741]"
IFEval_CHUNKED,qwen4b,large,40,correlation,p50,1,[19]
GPQA_NOCHUNK,qwen4b,large,50,cosine,p20,1,[122]
Omni-MATH_CHUNKED,qwen4b,large,30,euclidean,p10,1,[7]
Omni-MATH_CHUNKED,qwen4b,large,30,correlation,p90,2,"[24, 86]"
GPQA_CHUNKED,qwen8b,large,20,euclidean,p10,1,[4]
GPQA_CHUNKED,nemotron,large,40,cosine,p20,1,[16]
MMLU-Pro,qwen4b,large,50,correlation,p10,1,[9]
IFEval,bge,small,20,cosine,p50,1,[359]
MMLU-Pro,qwen8b,large,30,cosine,p80,2,"[2, 626]"
IFEval,e5,small,40,euclidean,p80,2,"[151, 494]"
IFEval_NOCHUNK,qwen4b,large,50,cosine,p80,1,[185]
Omni-MATH_CHUNKED,qwen8b,large,20,correlation,p95,2,"[1, 281]"
GPQA_CHUNKED,qwen8b,large,10,euclidean,p90,1,[201]
Omni-MATH_NOCHUNK,qwen8b,large,40,correlation,p10,1,[7]
GPQA_CHUNKED,qwen4b,large,40,cosine,p20,1,[182]
GPQA_CHUNKED,nemotron,large,10,euclidean,p80,1,[358]
Omni-MATH_CHUNKED,nemotron,large,40,euclidean,p80,2,"[900, 568]"
MMLU-Pro,gist,small,50,cosine,p95,52,"[602, 140, 506, 545, 709, 996, 798, 799, 651, 1, 274, 841, 458, 745, 900, 730, 342, 334, 643, 907, 927, 874, 492, 194, 464, 702, 667, 756, 670, 893, 660, 588, 655, 216, 433, 603, 401, 109, 375, 40, 43, 279, 564, 288, 966, 486, 254, 521, 346, 211, 423, 981]"
Omni-MATH_CHUNKED,qwen8b,large,10,cosine,p10,1,[7]
IFEval,gist,small,30,correlation,p50,2,"[121, 359]"
MMLU-Pro,qwen4b,large,20,correlation,p20,1,[13]
GPQA_CHUNKED,qwen4b,large,20,correlation,p90,2,"[1, 343]"
GPQA_CHUNKED,qwen4b,large,10,euclidean,p80,2,"[193, 201]"
GPQA,bge,small,10,correlation,p95,37,"[286, 56, 443, 268, 95, 384, 44, 289, 244, 127, 153, 228, 55, 420, 298, 37, 216, 291, 307, 167, 370, 277, 433, 41, 329, 427, 58, 60, 122, 417, 264, 79, 99, 176, 97, 94, 408]"
Omni-MATH_NOCHUNK,nemotron,large,10,correlation,p20,1,[10]
Omni-MATH_CHUNKED,nemotron,large,10,correlation,p20,1,[32]
Omni-MATH_NOCHUNK,nemotron,large,10,correlation,p80,1,[149]
GPQA,bge,small,40,cosine,p10,1,[17]
IFEval_CHUNKED,nemotron,large,10,correlation,p50,1,[15]
GPQA,gist,small,30,correlation,p90,14,"[379, 426, 286, 87, 182, 53, 82, 156, 27, 204, 202, 170, 244, 280]"
MMLU-Pro,nemotron,large,30,cosine,p10,1,[2]
IFEval_CHUNKED,qwen4b,large,10,euclidean,p50,1,[19]
Omni-MATH_CHUNKED,qwen8b,large,20,cosine,p50,1,[59]
IFEval,e5,small,30,cosine,p90,2,"[10, 494]"
Omni-MATH_NOCHUNK,qwen8b,large,40,cosine,p20,1,[7]
IFEval,gist,small,10,euclidean,p50,1,[359]
IFEval_NOCHUNK,nemotron,large,20,euclidean,p10,1,[53]
IFEval_CHUNKED,qwen4b,large,50,euclidean,p95,2,"[7, 227]"
GPQA,e5,small,40,cosine,p10,1,[31]
Omni-MATH_NOCHUNK,qwen8b,large,30,cosine,p95,2,"[1, 281]"
Omni-MATH,e5,small,50,cosine,p20,1,[136]
GPQA,e5,small,20,euclidean,p80,3,"[93, 229, 429]"
Omni-MATH,e5,small,20,euclidean,p95,6,"[157, 187, 839, 767, 498, 839]"
Omni-MATH,e5,small,40,euclidean,p20,1,[121]
IFEval_CHUNKED,qwen8b,large,20,euclidean,p80,1,[19]
Omni-MATH_NOCHUNK,qwen8b,large,20,cosine,p80,1,[281]
IFEval_CHUNKED,qwen4b,large,10,euclidean,p90,1,[185]
MMLU-Pro,gist,small,20,correlation,p50,2,"[1, 709]"
IFEval,e5,small,20,cosine,p20,1,[185]
Omni-MATH_CHUNKED,nemotron,large,30,correlation,p95,16,"[900, 568, 854, 352, 729, 2, 314, 962, 964, 562, 838, 967, 381, 859, 456, 447]"
IFEval_NOCHUNK,qwen8b,large,30,euclidean,p95,1,[19]
GPQA,bge,small,30,cosine,p95,37,"[286, 56, 443, 268, 95, 384, 44, 289, 244, 127, 153, 228, 55, 420, 298, 37, 216, 291, 307, 167, 370, 277, 433, 41, 329, 427, 58, 60, 122, 417, 264, 79, 99, 176, 97, 94, 408]"
Omni-MATH,bge,small,30,cosine,p10,1,[19]
Omni-MATH_NOCHUNK,qwen4b,large,50,correlation,p90,2,"[24, 86]"
GPQA,bge,small,50,correlation,p95,37,"[286, 56, 443, 268, 95, 384, 44, 289, 244, 127, 153, 228, 55, 420, 298, 37, 216, 291, 307, 167, 370, 277, 433, 41, 329, 427, 58, 60, 122, 417, 264, 79, 99, 176, 97, 94, 408]"
GPQA_NOCHUNK,qwen8b,large,10,correlation,p10,1,[27]
Omni-MATH_CHUNKED,qwen4b,large,50,cosine,p10,1,[7]
Omni-MATH,e5,small,40,correlation,p50,2,"[1, 657]"
GPQA_CHUNKED,nemotron,large,40,correlation,p10,1,[15]
IFEval_NOCHUNK,qwen4b,large,40,cosine,p90,1,[185]
Omni-MATH_CHUNKED,nemotron,large,20,cosine,p90,4,"[900, 568, 29, 314]"
MMLU-Pro,e5,small,40,correlation,p20,1,[5]
GPQA_CHUNKED,qwen4b,large,50,cosine,p20,1,[182]
MMLU-Pro,e5,small,30,euclidean,p10,1,[5]
MMLU-Pro,nemotron,large,50,correlation,p10,1,[2]
IFEval,e5,small,20,correlation,p95,2,"[494, 359]"
Omni-MATH_NOCHUNK,qwen8b,large,50,euclidean,p90,1,[281]
Omni-MATH_NOCHUNK,qwen4b,large,50,correlation,p80,2,"[15, 24]"
MMLU-Pro,qwen8b,large,50,cosine,p95,2,"[620, 626]"
Omni-MATH,gist,small,20,euclidean,p90,7,"[610, 773, 925, 583, 553, 449, 925]"
Omni-MATH_NOCHUNK,qwen8b,large,40,correlation,p50,1,[59]
MMLU-Pro,bge,small,30,cosine,p95,41,"[602, 996, 140, 205, 739, 690, 366, 766, 741, 843, 722, 830, 884, 26, 648, 820, 22, 69, 575, 172, 420, 705, 323, 314, 526, 494, 963, 546, 778, 288, 241, 718, 670, 763, 279, 401, 474, 603, 104, 619, 655]"
GPQA_NOCHUNK,nemotron,large,50,correlation,p80,2,"[1, 257]"
MMLU-Pro,e5,small,40,correlation,p90,3,"[5, 572, 765]"
GPQA_CHUNKED,qwen4b,large,30,cosine,p10,1,[27]
GPQA_NOCHUNK,nemotron,large,50,cosine,p50,1,[1]
MMLU-Pro,qwen4b,large,50,cosine,p90,2,"[34, 464]"
IFEval,gist,small,30,cosine,p95,8,"[359, 245, 323, 140, 430, 516, 494, 464]"
MMLU-Pro,e5,small,50,cosine,p50,2,"[5, 624]"
MMLU-Pro,qwen4b,large,40,cosine,p10,1,[9]
GPQA,e5,small,50,cosine,p50,1,[429]
IFEval,bge,small,30,correlation,p50,1,[359]
MMLU-Pro,e5,small,30,euclidean,p50,2,"[5, 765]"
IFEval_CHUNKED,qwen4b,large,10,correlation,p95,1,[227]
GPQA_CHUNKED,qwen8b,large,30,correlation,p20,1,[27]
IFEval_NOCHUNK,qwen4b,large,10,correlation,p90,1,[185]
MMLU-Pro,bge,small,40,correlation,p80,3,"[26, 739, 884]"
IFEval_CHUNKED,nemotron,large,40,euclidean,p20,1,[9]
Omni-MATH_NOCHUNK,qwen8b,large,50,cosine,p95,2,"[1, 281]"
GPQA_CHUNKED,qwen4b,large,30,euclidean,p10,1,[44]
Omni-MATH,e5,small,20,cosine,p10,1,[10]
Omni-MATH,bge,small,50,correlation,p95,5,"[134, 306, 552, 573, 0]"
Omni-MATH,bge,small,10,euclidean,p50,2,"[1, 772]"
IFEval,gist,small,40,correlation,p10,1,[69]
GPQA_CHUNKED,qwen8b,large,20,euclidean,p20,1,[20]
IFEval_NOCHUNK,qwen8b,large,30,cosine,p20,1,[1]
IFEval,bge,small,30,correlation,p95,6,"[359, 222, 494, 185, 313, 364]"
Omni-MATH_CHUNKED,nemotron,large,30,euclidean,p10,1,[19]
IFEval_CHUNKED,qwen8b,large,30,cosine,p90,1,[19]
IFEval,bge,small,10,euclidean,p95,5,"[359, 222, 494, 185, 364]"
IFEval_CHUNKED,nemotron,large,30,correlation,p95,24,"[245, 530, 196, 407, 367, 393, 331, 342, 23, 93, 34, 257, 36, 250, 425, 186, 455, 180, 179, 510, 470, 481, 505, 100]"
Omni-MATH_NOCHUNK,qwen4b,large,30,correlation,p20,1,[7]
MMLU-Pro,gist,small,40,correlation,p80,5,"[140, 709, 799, 602, 830]"
Omni-MATH,gist,small,50,cosine,p80,4,"[19, 610, 773, 921]"
MMLU-Pro,qwen8b,large,40,cosine,p50,1,[829]
Omni-MATH,e5,small,10,euclidean,p90,3,"[187, 895, 904]"
MMLU-Pro,gist,small,20,correlation,p10,2,"[1, 798]"
IFEval_NOCHUNK,qwen8b,large,50,euclidean,p50,1,[18]
MMLU-Pro,nemotron,large,30,cosine,p80,1,[221]
GPQA,e5,small,40,cosine,p95,24,"[106, 289, 229, 424, 429, 351, 51, 244, 257, 31, 295, 18, 234, 340, 65, 444, 235, 365, 71, 160, 423, 145, 417, 407]"
Omni-MATH_CHUNKED,nemotron,large,20,correlation,p50,1,[900]
GPQA_CHUNKED,nemotron,large,30,euclidean,p20,1,[16]
IFEval_NOCHUNK,qwen8b,large,20,correlation,p90,1,[185]
IFEval,gist,small,20,euclidean,p50,1,[359]
IFEval_NOCHUNK,qwen4b,large,10,euclidean,p10,1,[1]
MMLU-Pro,nemotron,large,10,correlation,p10,1,[2]
MMLU-Pro,qwen4b,large,30,cosine,p20,1,[13]
Omni-MATH_NOCHUNK,qwen8b,large,10,correlation,p95,2,"[1, 281]"
IFEval,e5,small,40,euclidean,p10,1,[37]
Omni-MATH_NOCHUNK,qwen4b,large,40,correlation,p20,1,[7]
IFEval,bge,small,40,euclidean,p50,1,[359]
GPQA_NOCHUNK,nemotron,large,40,correlation,p50,1,[1]
IFEval_NOCHUNK,nemotron,large,20,correlation,p90,6,"[459, 316, 275, 517, 109, 185]"
GPQA,e5,small,20,correlation,p10,1,[31]
MMLU-Pro,e5,small,30,euclidean,p20,1,[5]
GPQA,e5,small,50,cosine,p80,2,"[51, 106]"
IFEval,bge,small,10,correlation,p10,1,[109]
GPQA_NOCHUNK,nemotron,large,40,cosine,p50,1,[1]
Omni-MATH_NOCHUNK,nemotron,large,50,correlation,p95,1,[906]
GPQA_NOCHUNK,qwen8b,large,50,cosine,p20,1,[27]
IFEval_CHUNKED,nemotron,large,30,cosine,p80,1,[245]
Omni-MATH,e5,small,40,correlation,p80,2,"[3, 187]"
IFEval_NOCHUNK,qwen4b,large,50,cosine,p10,1,[1]
GPQA_CHUNKED,nemotron,large,50,euclidean,p95,1,[358]
IFEval_NOCHUNK,qwen4b,large,50,correlation,p50,1,[19]
IFEval,bge,small,40,correlation,p95,6,"[359, 222, 494, 185, 313, 364]"
Omni-MATH,e5,small,20,cosine,p50,2,"[1, 657]"
Omni-MATH,bge,small,50,cosine,p10,1,[19]
MMLU-Pro,nemotron,large,20,correlation,p95,2,"[96, 739]"
GPQA,bge,small,30,euclidean,p80,3,"[88, 286, 443]"
Omni-MATH,bge,small,50,cosine,p95,5,"[134, 306, 552, 573, 0]"
Omni-MATH_NOCHUNK,qwen4b,large,30,cosine,p90,2,"[24, 86]"
IFEval_CHUNKED,nemotron,large,30,correlation,p20,1,[9]
IFEval_NOCHUNK,nemotron,large,10,cosine,p80,3,"[6, 109, 312]"
Omni-MATH_NOCHUNK,qwen8b,large,40,cosine,p10,1,[7]
IFEval_NOCHUNK,qwen8b,large,40,cosine,p50,1,[19]
MMLU-Pro,bge,small,40,cosine,p50,2,"[4, 902]"
MMLU-Pro,e5,small,50,euclidean,p10,1,[5]
GPQA_CHUNKED,qwen8b,large,20,euclidean,p80,1,[27]
MMLU-Pro,e5,small,30,cosine,p50,2,"[5, 624]"
IFEval,bge,small,50,correlation,p80,2,"[109, 359]"
Omni-MATH_NOCHUNK,nemotron,large,30,cosine,p20,1,[10]
Omni-MATH,e5,small,40,euclidean,p95,6,"[839, 498, 187, 157, 767, 839]"
GPQA_NOCHUNK,qwen8b,large,10,correlation,p20,1,[27]
IFEval,e5,small,20,correlation,p80,2,"[151, 494]"
Omni-MATH,e5,small,50,correlation,p50,2,"[1, 657]"
Omni-MATH_NOCHUNK,nemotron,large,40,cosine,p90,1,[906]
Omni-MATH_CHUNKED,qwen8b,large,30,cosine,p20,1,[7]
IFEval,e5,small,50,euclidean,p20,1,[185]
IFEval_CHUNKED,qwen8b,large,10,correlation,p50,1,[19]
IFEval_NOCHUNK,qwen8b,large,30,euclidean,p20,1,[1]
GPQA,e5,small,10,cosine,p10,1,[31]
IFEval_CHUNKED,nemotron,large,20,correlation,p50,1,[15]
MMLU-Pro,qwen4b,large,30,correlation,p90,2,"[34, 464]"
IFEval_NOCHUNK,qwen4b,large,40,cosine,p20,1,[1]
MMLU-Pro,bge,small,10,correlation,p95,41,"[602, 996, 140, 205, 739, 690, 366, 766, 741, 843, 722, 830, 884, 26, 648, 820, 22, 69, 575, 172, 420, 705, 323, 314, 526, 494, 963, 546, 778, 288, 241, 718, 670, 763, 279, 401, 474, 603, 104, 619, 655]"
Omni-MATH,bge,small,20,cosine,p10,1,[19]
GPQA_NOCHUNK,nemotron,large,40,correlation,p10,1,[1]
IFEval_NOCHUNK,qwen4b,large,10,cosine,p10,1,[1]
IFEval,bge,small,50,cosine,p90,3,"[222, 494, 196]"
IFEval_NOCHUNK,qwen4b,large,20,cosine,p95,1,[227]
GPQA,e5,small,30,cosine,p20,1,[429]
GPQA_NOCHUNK,qwen4b,large,10,correlation,p20,1,[122]
Omni-MATH_NOCHUNK,qwen8b,large,20,cosine,p50,1,[59]
IFEval_NOCHUNK,qwen8b,large,50,cosine,p10,1,[1]
IFEval_CHUNKED,qwen4b,large,30,cosine,p50,1,[19]
Omni-MATH_CHUNKED,qwen4b,large,10,correlation,p95,7,"[24, 296, 648, 809, 276, 512, 811]"
GPQA_NOCHUNK,nemotron,large,40,euclidean,p80,2,"[257, 404]"
GPQA,bge,small,40,euclidean,p10,1,[17]
MMLU-Pro,qwen4b,large,20,cosine,p10,1,[9]
GPQA,e5,small,50,correlation,p50,1,[429]
Omni-MATH,e5,small,50,correlation,p20,1,[136]
IFEval_CHUNKED,nemotron,large,50,correlation,p20,1,[9]
IFEval,bge,small,30,correlation,p20,1,[109]
GPQA,bge,small,20,correlation,p50,2,"[1, 443]"
Omni-MATH_CHUNKED,qwen4b,large,40,cosine,p50,1,[149]
IFEval_CHUNKED,qwen8b,large,30,euclidean,p80,1,[19]
IFEval_NOCHUNK,qwen4b,large,40,cosine,p80,1,[185]
Omni-MATH_CHUNKED,qwen4b,large,30,euclidean,p95,2,"[5, 24]"
MMLU-Pro,e5,small,50,euclidean,p80,2,"[71, 765]"
GPQA,gist,small,50,cosine,p10,1,[44]
GPQA_NOCHUNK,nemotron,large,10,euclidean,p10,1,[1]
GPQA_CHUNKED,qwen4b,large,30,cosine,p20,1,[182]
Omni-MATH_CHUNKED,qwen8b,large,20,cosine,p20,1,[7]
GPQA_NOCHUNK,nemotron,large,10,euclidean,p90,2,"[412, 257]"
Omni-MATH_NOCHUNK,qwen8b,large,40,euclidean,p90,1,[281]
IFEval,bge,small,40,correlation,p10,1,[109]
IFEval_NOCHUNK,qwen4b,large,20,euclidean,p90,1,[185]
MMLU-Pro,nemotron,large,20,euclidean,p80,1,[221]
MMLU-Pro,nemotron,large,10,euclidean,p20,1,[8]
Omni-MATH_NOCHUNK,qwen4b,large,40,correlation,p90,2,"[24, 86]"
Omni-MATH,e5,small,40,cosine,p90,3,"[137, 187, 904]"
IFEval_CHUNKED,nemotron,large,10,euclidean,p80,1,[245]
IFEval_NOCHUNK,nemotron,large,50,cosine,p10,1,[53]
MMLU-Pro,bge,small,20,correlation,p95,41,"[602, 996, 140, 205, 739, 690, 366, 766, 741, 843, 722, 830, 884, 26, 648, 820, 22, 69, 575, 172, 420, 705, 323, 314, 526, 494, 963, 546, 778, 288, 241, 718, 670, 763, 279, 401, 474, 603, 104, 619, 655]"
GPQA,bge,small,40,correlation,p90,10,"[286, 443, 289, 41, 370, 228, 56, 268, 31, 143]"
Omni-MATH_NOCHUNK,qwen4b,large,50,euclidean,p20,1,[7]
GPQA_NOCHUNK,qwen8b,large,40,euclidean,p20,1,[20]
IFEval_NOCHUNK,qwen4b,large,40,cosine,p50,1,[19]
IFEval_CHUNKED,qwen8b,large,40,correlation,p10,1,[1]
IFEval_NOCHUNK,qwen4b,large,20,cosine,p10,1,[1]
Omni-MATH_CHUNKED,qwen8b,large,20,cosine,p95,2,"[1, 281]"
Omni-MATH,gist,small,40,cosine,p20,2,"[1, 460]"
GPQA_NOCHUNK,nemotron,large,40,cosine,p95,21,"[257, 320, 196, 1, 412, 435, 425, 114, 308, 219, 290, 15, 402, 278, 324, 398, 98, 300, 251, 84, 42]"
Omni-MATH_CHUNKED,nemotron,large,50,correlation,p90,4,"[900, 568, 29, 314]"
IFEval_CHUNKED,nemotron,large,20,euclidean,p95,14,"[245, 530, 196, 34, 425, 331, 23, 36, 180, 250, 407, 122, 510, 470]"
MMLU-Pro,qwen8b,large,40,cosine,p90,2,"[626, 620]"
IFEval,gist,small,30,cosine,p80,2,"[20, 359]"
MMLU-Pro,qwen8b,large,10,euclidean,p90,1,[460]
MMLU-Pro,gist,small,30,euclidean,p50,2,"[602, 759]"
IFEval_CHUNKED,nemotron,large,40,cosine,p20,1,[9]
IFEval_CHUNKED,qwen8b,large,30,correlation,p90,1,[19]
MMLU-Pro,nemotron,large,10,cosine,p95,2,"[96, 739]"
MMLU-Pro,qwen4b,large,30,correlation,p10,1,[9]
GPQA,bge,small,50,euclidean,p20,1,[214]
MMLU-Pro,e5,small,10,cosine,p90,3,"[64, 572, 765]"
IFEval_CHUNKED,qwen4b,large,50,euclidean,p10,1,[1]
IFEval_NOCHUNK,nemotron,large,50,euclidean,p10,1,[53]
GPQA_NOCHUNK,qwen4b,large,30,euclidean,p20,1,[45]
MMLU-Pro,bge,small,40,correlation,p50,2,"[4, 902]"
IFEval_NOCHUNK,qwen4b,large,10,euclidean,p50,1,[19]
GPQA_CHUNKED,qwen4b,large,40,euclidean,p10,1,[44]
IFEval_NOCHUNK,qwen4b,large,40,correlation,p10,1,[1]
Omni-MATH,gist,small,30,euclidean,p95,20,"[68, 19, 427, 422, 319, 773, 136, 921, 583, 922, 431, 925, 0, 0, 481, 0, 66534896, 32637, 66534896, 32637]"
GPQA_CHUNKED,nemotron,large,50,correlation,p95,1,[358]
GPQA_CHUNKED,nemotron,large,50,cosine,p90,1,[358]
Omni-MATH_CHUNKED,nemotron,large,10,euclidean,p10,1,[19]
GPQA,e5,small,40,euclidean,p50,1,[429]
Omni-MATH,gist,small,50,cosine,p50,2,"[11, 773]"
IFEval,e5,small,30,cosine,p95,2,"[494, 359]"
Omni-MATH,gist,small,20,correlation,p10,1,[696]
IFEval_NOCHUNK,nemotron,large,40,cosine,p50,2,"[1, 109]"
IFEval_CHUNKED,qwen8b,large,50,cosine,p90,1,[19]
Omni-MATH,gist,small,30,cosine,p95,22,"[12, 68, 157, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
MMLU-Pro,qwen8b,large,20,correlation,p90,2,"[626, 620]"
MMLU-Pro,nemotron,large,50,cosine,p20,1,[8]
IFEval,bge,small,10,correlation,p95,6,"[359, 222, 494, 185, 313, 364]"
IFEval_NOCHUNK,qwen8b,large,50,cosine,p20,1,[1]
MMLU-Pro,e5,small,20,cosine,p20,1,[5]
Omni-MATH_NOCHUNK,nemotron,large,50,correlation,p50,1,[46]
GPQA_NOCHUNK,nemotron,large,30,cosine,p50,1,[1]
GPQA_CHUNKED,qwen4b,large,40,correlation,p20,1,[182]
GPQA_NOCHUNK,qwen8b,large,30,euclidean,p10,1,[4]
Omni-MATH,gist,small,20,euclidean,p50,2,"[11, 773]"
MMLU-Pro,e5,small,10,cosine,p10,1,[5]
IFEval_CHUNKED,qwen4b,large,20,euclidean,p95,2,"[7, 227]"
Omni-MATH_NOCHUNK,nemotron,large,40,cosine,p50,1,[46]
Omni-MATH,bge,small,20,cosine,p95,5,"[134, 306, 552, 573, 0]"
IFEval_CHUNKED,qwen4b,large,40,cosine,p80,1,[185]
Omni-MATH_NOCHUNK,qwen8b,large,30,euclidean,p50,1,[33]
Omni-MATH,gist,small,50,correlation,p80,4,"[19, 610, 773, 921]"
IFEval,gist,small,30,correlation,p90,3,"[245, 311, 359]"
MMLU-Pro,qwen4b,large,20,correlation,p80,2,"[8, 829]"
IFEval_NOCHUNK,qwen8b,large,50,correlation,p90,1,[185]
Omni-MATH_CHUNKED,qwen4b,large,40,correlation,p80,2,"[15, 24]"
Omni-MATH_CHUNKED,qwen4b,large,30,cosine,p50,1,[149]
MMLU-Pro,qwen8b,large,20,correlation,p10,1,[9]
GPQA,gist,small,40,euclidean,p10,1,[44]
Omni-MATH,bge,small,50,cosine,p80,2,"[12, 772]"
GPQA_CHUNKED,nemotron,large,10,euclidean,p10,1,[15]
IFEval_CHUNKED,qwen8b,large,40,euclidean,p95,1,[19]
MMLU-Pro,qwen4b,large,30,euclidean,p80,2,"[705, 842]"
IFEval_NOCHUNK,qwen8b,large,20,euclidean,p10,1,[1]
IFEval,e5,small,40,euclidean,p20,1,[185]
Omni-MATH,e5,small,30,cosine,p50,2,"[1, 657]"
Omni-MATH_NOCHUNK,qwen8b,large,30,cosine,p90,1,[281]
GPQA_NOCHUNK,qwen8b,large,20,cosine,p20,1,[27]
MMLU-Pro,bge,small,30,euclidean,p20,1,[696]
MMLU-Pro,qwen8b,large,40,correlation,p95,2,"[620, 626]"
MMLU-Pro,e5,small,30,correlation,p90,3,"[5, 572, 765]"
Omni-MATH_CHUNKED,qwen4b,large,40,euclidean,p10,1,[7]
Omni-MATH_NOCHUNK,qwen8b,large,10,cosine,p10,1,[7]
Omni-MATH,gist,small,40,cosine,p10,1,[696]
IFEval,bge,small,40,cosine,p80,2,"[109, 359]"
GPQA_NOCHUNK,qwen8b,large,10,correlation,p50,1,[27]
IFEval_CHUNKED,qwen4b,large,20,cosine,p20,1,[1]
MMLU-Pro,gist,small,10,cosine,p90,15,"[140, 335, 766, 423, 709, 745, 602, 563, 128, 963, 750, 0, 0, 0, 1873]"
MMLU-Pro,qwen4b,large,10,euclidean,p90,2,"[13, 705]"
IFEval,gist,small,40,cosine,p50,2,"[121, 359]"
IFEval_NOCHUNK,nemotron,large,50,cosine,p80,3,"[6, 109, 312]"
Omni-MATH,bge,small,20,euclidean,p90,2,"[12, 772]"
Omni-MATH_CHUNKED,qwen4b,large,10,euclidean,p50,1,[71]
GPQA_NOCHUNK,qwen8b,large,40,cosine,p95,1,[343]
Omni-MATH_NOCHUNK,nemotron,large,20,cosine,p80,1,[149]
GPQA,e5,small,50,correlation,p20,1,[429]
IFEval_CHUNKED,qwen8b,large,20,cosine,p50,1,[19]
Omni-MATH,e5,small,40,correlation,p10,1,[10]
IFEval_CHUNKED,qwen8b,large,10,correlation,p95,1,[185]
MMLU-Pro,e5,small,50,correlation,p80,2,"[71, 765]"
Omni-MATH_CHUNKED,nemotron,large,30,cosine,p10,1,[19]
GPQA_NOCHUNK,qwen8b,large,30,cosine,p80,1,[27]
MMLU-Pro,qwen4b,large,10,correlation,p20,1,[13]
GPQA,e5,small,10,cosine,p20,1,[429]
GPQA,e5,small,50,cosine,p10,1,[31]
IFEval_CHUNKED,qwen8b,large,40,cosine,p20,1,[1]
Omni-MATH,gist,small,30,euclidean,p80,3,"[295, 583, 773]"
MMLU-Pro,bge,small,50,euclidean,p80,3,"[26, 739, 884]"
GPQA_CHUNKED,qwen8b,large,30,cosine,p80,1,[27]
